"regional";"municipio";"prestador_matricula";"prestador_nome";"ramo";"referencia";"remessa";"situacao";"valor_pagar";"observacoes"
TEOFILO OTONI;TEOFILO OTONI;4046797;ODONTOLOGIA SILVESTRE & HAUEISEN LTDA;CLINODON;"2022-02-01";2002409672;PAGPROC;2624.75;
CONTAGEM;BETIM;4105213;HOSPITAL MATER DEI S.A;HOSP;"2025-10-01";2003436951;PAGPROC;3556.89;
BELO HORIZONTE;BELO HORIZONTE;3766842;CLINICA ODONTOLOGICA CAMPOSTRINI E LEOPOLDO LTDA;CLINODON;"2023-08-01";2002795039;EMREVISAO;0.00;
UBERLANDIA;UBERLANDIA;3613278;HOSPITAL SANTA GENOVEVA LTDA;HOSP;"2024-12-01";2003193141;EMREVISAO;0.00;
UBERLANDIA;ARAGUARI;3145269;SANTA CASA DE MISERICORDIA DE ARAGUARI;HOSP;"2023-10-01";2002945961;EMREVISAO;147.38;
ARAXA;ARAXA;2620401;ASSOCIACAO DE ASSISTENCIA SOCIAL DA SANTA CASA DE MISERICORDIA DE ARAXA;HOSP;"2025-12-01";2003366741;EMREVISAO;9356.01;
DIVINOPOLIS;DIVINOPOLIS;2599011;LABORATORIO ELION ANALISES CLINICAS LTDA;LABO;"2024-11-01";2003152746;PAGPROC;0.00;
MANHUACU;MANHUACU;2733264;HOSPITAL CESAR LEITE;HOSP;"2025-08-01";2003344059;LIBPAGTO;742.73;
MONTES CLAROS;MONTES CLAROS;3889199;IRMANDADE NOSSA SENHORA DAS MERCES DE MONTES CLAROS;HOSP;"2025-11-01";2003397435;PAGPROC;12746.88;
BARBACENA;BARBACENA;4068774;ONCOVERTENTES CENTRO MEDICO LTDA;CLIN;"2022-11-01";2002591844;LIBPAGTO;17.68;
BELO HORIZONTE;BELO HORIZONTE;3766842;CLINICA ODONTOLOGICA CAMPOSTRINI E LEOPOLDO LTDA;CLINODON;"2023-10-01";2002809017;EMREVISAO;0.00;
ITAUNA;ITAUNA;3406682;ERGOFISIO FISIOTERAPIA E ERGONOMIA LTDA;CLIN;"2025-09-01";2003390681;EMREVISAO;0.00;
UBERLANDIA;UBERLANDIA;3267827;HOSPITAL E MATERNIDADE SANTA CLARA S/A;HOSP;"2025-11-01";2003357067;EMREVISAO;0.00;
CORONEL FABRICIANO;IPATINGA;48184;FUNDACAO SAO FRANCISCO XAVIER;HOSP;"2025-11-01";2003395029;PAGPROC;74685.90;
CORONEL FABRICIANO;IPATINGA;48184;FUNDACAO SAO FRANCISCO XAVIER;HOSP;"2025-11-01";2003399482;EMREVISAO;1941.07;
CORONEL FABRICIANO;IPATINGA;48184;FUNDACAO SAO FRANCISCO XAVIER;HOSP;"2025-11-01";2003400593;PAGPROC;501.83;
UBERLANDIA;UBERLANDIA;3613278;HOSPITAL SANTA GENOVEVA LTDA;HOSP;"2024-07-01";2003073698;EMREVISAO;0.00;
OLIVEIRA;OLIVEIRA;48820;IRMANDADE DA SANTA CASA DE MISERICORDIA DE OLIVEIRA;HOSP;"2025-12-01";2003410389;EMREVISAO;399.69;
UBERLANDIA;ARAGUARI;3145269;SANTA CASA DE MISERICORDIA DE ARAGUARI;HOSP;"2025-10-01";2003414247;EMREVISAO;7686.15;
UBERLANDIA;PRATA;3738930;ALVES E VILELA LABORATORIO DE ANALISES CLINICAS LTDA;LABO;"2025-08-01";2003317493;EMREVISAO;0.00;
UBERABA;UBERABA;4143683;SOCIEDADE INTEGRADA DE SAUDE ODONTOLOGICA LTDA;CLINODON;"2024-07-01";2003077733;EMREVISAO;0.00;
JUIZ DE FORA;JUIZ DE FORA;4022233;FUNDACAO INSTITUTO CLINICO JUIZ DE FORA;HOSP;"2022-01-01";2002446468;LIBPAGTO;386.36;
BELO HORIZONTE;BELO HORIZONTE;4375859;ASSOCIACAO MARIO PENNA;CLIN;"2025-11-01";2003352777;EMREVISAO;0.00;
CONTAGEM;BETIM;4105213;HOSPITAL MATER DEI S.A;HOSP;"2025-11-01";2003429846;PAGPROC;4734.33;
UBERLANDIA;UBERLANDIA;3267827;HOSPITAL E MATERNIDADE SANTA CLARA S/A;HOSP;"2025-04-01";2003239453;EMREVISAO;0.00;
POUSO ALEGRE;SANTA RITA DO SAPUCAI;3814842;FUNDACAO SANTARRITENSE DE SAUDE E ASSISTENCIA SOCIAL;HOSP;"2024-05-01";2003039506;LIBPAGTO;314.51;
PEDRO LEOPOLDO;SANTA LUZIA;4134327;JM CONSULTORIO E DIAGNOSTICO LTDA;CLIN;"2025-07-01";2003290850;EMREVISAO;0.00;
MONTES CLAROS;MONTES CLAROS;3889199;IRMANDADE NOSSA SENHORA DAS MERCES DE MONTES CLAROS;HOSP;"2025-11-01";2003402975;PAGPROC;179.42;
PATOS DE MINAS;PATOS DE MINAS;3822779;CORREA E CARDOSO LTDA;ATENDOM;"2025-12-01";2003427976;PAGPROC;29403.57;
PONTE NOVA;VICOSA;48205;CASA DE CARIDADE DE VICOSA HOSPITAL SAO SEBASTIAO;HOSP;"2025-12-01";2003441131;EMREVISAO;0.00;
BELO HORIZONTE;BELO HORIZONTE;4375843;ASSOCIACAO DOS PROFISSIONAIS DE SAUDE DO HOSPITAL BELO HORIZONTE- APSHBH;HOSP;"2025-12-01";2003367492;EMREVISAO;1537.55;
CORONEL FABRICIANO;IPATINGA;48184;FUNDACAO SAO FRANCISCO XAVIER;HOSP;"2025-11-01";2003388355;EMREVISAO;3170.94;
TEOFILO OTONI;TEOFILO OTONI;4278820;ASSOCIACAO HOSPITALAR SAO VICENTE DE PAULO DE IPANEMA;HOSP;"2025-08-01";2003319743;EMREVISAO;13396.57;
BELO HORIZONTE;BELO HORIZONTE;3723352;INSTITUTO HERMES PARDINI S/A;CLIN;"2025-10-01";2003357789;EMREVISAO;0.00;
BELO HORIZONTE;NOVA LIMA;48200;BIOCOR HOSPITAL DE DOENCAS CARDIOVASCULARES S.A.;HOSP;"2025-10-01";2003435031;PAGPROC;380.36;
BELO HORIZONTE;BELO HORIZONTE;4375859;ASSOCIACAO MARIO PENNA;CLIN;"2025-11-01";2003351500;PAGPROC;8055.91;
UBERABA;SACRAMENTO;2629659;INSTITUTO DE ANALISE E PESQUISAS CLINICAS DE SACRAMENTO LTDA;LABO;"2024-04-01";2002928861;PAGPROC;2989.51;
UBERLANDIA;UBERLANDIA;3267827;HOSPITAL E MATERNIDADE SANTA CLARA S/A;HOSP;"2024-12-01";2003234535;LIBPAGTO;45681.68;
POUSO ALEGRE;ITAJUBA;80034;SANTA CASA DE MISERICORDIA DE ITAJUBA;HOSP;"2023-12-01";2002879803;LIBPAGTO;198.83;
UBERLANDIA;UBERLANDIA;3267827;HOSPITAL E MATERNIDADE SANTA CLARA S/A;HOSP;"2024-11-01";2003129078;EMREVISAO;0.00;
POUSO ALEGRE;ITAJUBA;80034;SANTA CASA DE MISERICORDIA DE ITAJUBA;HOSP;"2024-12-01";2003401870;CADASTRO;357.65;
BELO HORIZONTE;BELO HORIZONTE;4055599;AZEVEDO ODONTOLOGIA LTDA;CLINODON;"2022-05-01";2002461235;LIBPAGTO;2569.34;
UBERLANDIA;ARAGUARI;3145269;SANTA CASA DE MISERICORDIA DE ARAGUARI;HOSP;"2025-12-01";2003433805;EMREVISAO;0.00;
BELO HORIZONTE;BELO HORIZONTE;3070733;SANTA CASA DE MISERICORDIA DE BELO HORIZONTE;HOSP;"2025-12-01";2003348207;EMREVISAO;3146.39;
CORONEL FABRICIANO;IPATINGA;48184;FUNDACAO SAO FRANCISCO XAVIER;HOSP;"2025-12-01";2003402263;EMREVISAO;4147.51;
MANHUACU;MANHUACU;2733264;HOSPITAL CESAR LEITE;HOSP;"2025-08-01";2003315681;EMREVISAO;13924.76;
OLIVEIRA;CAMPO BELO;48993;SANTA CASA DE MISERICORDIA SAO VICENTE DE PAULO;HOSP;"2025-08-01";2003430250;CADASTRO;4928.10;
POUSO ALEGRE;EXTREMA;48323;HOSPITAL MATERNIDADE SAO LUCAS DE EXTREMA LTDA;HOSP;"2025-04-01";2003238129;EMREVISAO;0.00;
UBERLANDIA;UBERLANDIA;3613278;HOSPITAL SANTA GENOVEVA LTDA;HOSP;"2024-04-01";2002955611;EMREVISAO;0.00;
BELO HORIZONTE;NOVA LIMA;3110340;LABORATORIO HERCULES LTDA;LABO;"2024-03-01";2002945467;PAGPROC;0.00;
CORONEL FABRICIANO;IPATINGA;48184;FUNDACAO SAO FRANCISCO XAVIER;HOSP;"2025-12-01";2003411159;EMREVISAO;80.00;
MONTES CLAROS;MONTES CLAROS;3889199;IRMANDADE NOSSA SENHORA DAS MERCES DE MONTES CLAROS;HOSP;"2025-12-01";2003399712;PAGPROC;256.40;
BELO HORIZONTE;BELO HORIZONTE;4375859;ASSOCIACAO MARIO PENNA;CLIN;"2025-07-01";2003293220;LIBPAGTO;534.14;
UBERLANDIA;UBERLANDIA;3127853;CENTRO DE DIAGNOSTICO DO TRIANGULO LTDA;LABO;"2023-12-01";2002858713;EMREVISAO;0.00;
ARAXA;ARAXA;3159596;EURIPEDES MARCELO BORGES & CIA LTDA;LABO;"2022-10-01";2002547120;PAGPROC;9687.72;
CORONEL FABRICIANO;IPATINGA;48184;FUNDACAO SAO FRANCISCO XAVIER;HOSP;"2025-12-01";2003407300;PAGPROC;160.00;
BELO HORIZONTE;BELO HORIZONTE;3674265;IPSEM - INSTITUTO DE PESQUISAS E SERVICOS MEDICOS LTDA;ATENDOM;"2025-12-01";2003441935;PAGPROC;1379.72;
BELO HORIZONTE;BELO HORIZONTE;3723352;INSTITUTO HERMES PARDINI S/A;CLIN;"2025-05-01";2003282711;EMREVISAO;0.00;
CONTAGEM;BETIM;4105213;HOSPITAL MATER DEI S.A;HOSP;"2025-11-01";2003428395;PAGPROC;28035.42;
CORONEL FABRICIANO;IPATINGA;48184;FUNDACAO SAO FRANCISCO XAVIER;HOSP;"2025-12-01";2003411804;EMREVISAO;0.00;
MURIAE;MURIAE;3714115;CEMAC - CENTRO MURIAEENSE DE APOIO A CIDADANIA;HOSP;"2025-12-01";2003425713;EMREVISAO;2576.77;
SAO JOAO DEL REI;SAO JOAO DEL REI;48035;SANTA CASA DA MISERICORDIA DE SAO JOAO DEL REI;HOSP;"2022-12-01";2002732105;LIBPAGTO;0.00;
MONTES CLAROS;MONTES CLAROS;4125617;COMPLEXO MEDICO E IMAGEM PRO - VIDA LTDA;HOSP;"2023-04-01";2002761955;PAGPROC;100.80;
ARAXA;ARAXA;2620401;ASSOCIACAO DE ASSISTENCIA SOCIAL DA SANTA CASA DE MISERICORDIA DE ARAXA;HOSP;"2025-10-01";2003350113;LIBPAGTO;110.00;
UBERLANDIA;ARAGUARI;3145269;SANTA CASA DE MISERICORDIA DE ARAGUARI;HOSP;"2022-12-01";2002658960;LIBPAGTO;0.00;
CONTAGEM;BETIM;4105213;HOSPITAL MATER DEI S.A;HOSP;"2025-10-01";2003427412;PAGPROC;27421.05;
PASSOS;PIUMHI;3331036;SANTA CASA DE MISERICORDIA DE PIUMHI;HOSP;"2025-04-01";2003272623;EMREVISAO;3104.65;
BELO HORIZONTE;BELO HORIZONTE;3071797;ASSOCIACAO EVANGELICA BENEFICENTE DE MINAS GERAIS;HOSP;"2024-11-01";2003430235;PAGPROC;759.04;
UBERLANDIA;UBERLANDIA;3267827;HOSPITAL E MATERNIDADE SANTA CLARA S/A;HOSP;"2025-12-01";2003394843;PAGPROC;20561.16;
CONTAGEM;BETIM;4105213;HOSPITAL MATER DEI S.A;HOSP;"2025-10-01";2003426978;PAGPROC;0.00;
CONTAGEM;BETIM;4105213;HOSPITAL MATER DEI S.A;HOSP;"2025-09-01";2003426813;PAGPROC;24.00;
BELO HORIZONTE;NOVA LIMA;48200;BIOCOR HOSPITAL DE DOENCAS CARDIOVASCULARES S.A.;HOSP;"2024-07-01";2003068094;PAGPROC;0.00;
CONTAGEM;BETIM;4105213;HOSPITAL MATER DEI S.A;HOSP;"2025-11-01";2003423030;PAGPROC;6675.36;
ALFENAS;ALFENAS;4043380;HELIANA MARA DA SILVA;CLINODON;"2024-01-01";2002858861;PAGPROC;1054.26;
UBERLANDIA;UBERLANDIA;3869356;COMPLEXO HOSPITALAR UBERLANDIA S.A;HOSP;"2022-10-01";2002675694;PAGPROC;210.00;
POUSO ALEGRE;EXTREMA;48323;HOSPITAL MATERNIDADE SAO LUCAS DE EXTREMA LTDA;HOSP;"2025-12-01";2003386302;EMREVISAO;110.02;
BELO HORIZONTE;BELO HORIZONTE;4375843;ASSOCIACAO DOS PROFISSIONAIS DE SAUDE DO HOSPITAL BELO HORIZONTE- APSHBH;HOSP;"2025-06-01";2003277574;EMREVISAO;0.00;
POUSO ALEGRE;OURO FINO;3038246;CASA DE CARIDADE DE OURO FINO;HOSP;"2024-10-01";2003118868;LIBPAGTO;4093.12;
MONTES CLAROS;MONTES CLAROS;3889199;IRMANDADE NOSSA SENHORA DAS MERCES DE MONTES CLAROS;HOSP;"2025-11-01";2003405961;PAGPROC;1577.44;
CORONEL FABRICIANO;IPATINGA;48184;FUNDACAO SAO FRANCISCO XAVIER;HOSP;"2025-11-01";2003397558;EMREVISAO;8314.23;
BELO HORIZONTE;BELO HORIZONTE;3945627;LABORATORIO DE PATOLOGIA CIRURGICA E CITOPATOLOGIA LTDA;LABO;"2024-06-01";2003056453;EMREVISAO;0.00;
MURIAE;MURIAE;3159145;FUNDACAO CRISTIANO VARELLA;HOSP;"2022-02-01";2002527237;PAGPROC;0.00;
PASSOS;PIUMHI;3331036;SANTA CASA DE MISERICORDIA DE PIUMHI;HOSP;"2024-03-01";2002951658;EMREVISAO;0.00;
BELO HORIZONTE;BELO HORIZONTE;3297881;INSTITUTO MOACYR JUNQUEIRA ANATOMIA PATOLOGICA E CITOPATOLOGIA LTDA;LABO;"2025-06-01";2003281014;PAGPROC;0.00;
PEDRO LEOPOLDO;RIBEIRAO DAS NEVES;4051109;C.P.B CONSULTORIOS ODONTOLOGICOS E MEDICOS LTDA;CONSULTODON;"2025-11-01";2003362760;LIBPAGTO;80.19;
OLIVEIRA;OLIVEIRA;48820;IRMANDADE DA SANTA CASA DE MISERICORDIA DE OLIVEIRA;HOSP;"2025-12-01";2003438691;EMREVISAO;0.00;
BELO HORIZONTE;BELO HORIZONTE;3070733;SANTA CASA DE MISERICORDIA DE BELO HORIZONTE;HOSP;"2025-12-01";2003355908;EMREVISAO;2447.88;
UBERLANDIA;ARAGUARI;3145269;SANTA CASA DE MISERICORDIA DE ARAGUARI;HOSP;"2025-10-01";2003414225;EMREVISAO;2808.07;
UBERLANDIA;UBERLANDIA;3267827;HOSPITAL E MATERNIDADE SANTA CLARA S/A;HOSP;"2025-12-01";2003355871;EMREVISAO;0.00;
UBERLANDIA;UBERLANDIA;3267827;HOSPITAL E MATERNIDADE SANTA CLARA S/A;HOSP;"2025-12-01";2003351827;PAGPROC;3850.39;
PONTE NOVA;VICOSA;48205;CASA DE CARIDADE DE VICOSA HOSPITAL SAO SEBASTIAO;HOSP;"2025-12-01";2003411323;LIBPAGTO;9997.19;
BELO HORIZONTE;BELO HORIZONTE;48627;NUCLEAR MEDCENTER LTDA;CLIN;"2025-10-01";2003370978;EMREVISAO;0.00;
ITUIUTABA;ITUIUTABA;3330346;HOSPITAL NOSSA SENHORA D'ABADIA LTDA;HOSP;"2023-07-01";2002764612;PAGPROC;0.00;
VARGINHA;VARGINHA;4083229;IOT- INSTITUTO DE ORTOPEDIA E TRAUMATOLOGIA DE VARGINHA LTDA;CLIN;"2023-07-01";2002750100;PAGPROC;2970.00;
UBERLANDIA;UBERLANDIA;3613278;HOSPITAL SANTA GENOVEVA LTDA;HOSP;"2025-01-01";2003214724;EMREVISAO;0.00;
BELO HORIZONTE;BELO HORIZONTE;3070733;SANTA CASA DE MISERICORDIA DE BELO HORIZONTE;HOSP;"2025-11-01";2003411476;EMREVISAO;0.00;
POUSO ALEGRE;POUSO ALEGRE;2762100;ALKMIM TEIXEIRA & TEIXEIRA LTDA;HOSP;"2024-07-01";2003420549;PAGPROC;0.00;
PASSOS;PASSOS;3411714;UNIMED SUDOESTE DE MINAS COOPERATIVA DE TRABALHO MEDICO;HOSP;"2024-01-01";2002856481;EMREVISAO;0.00;
CONTAGEM;BETIM;4120250;INSTITUTO FLORIANO PEIXOTO ODONTOLOGIA LTDA;CLINODON;"2024-02-01";2002878955;EMREVISAO;0.00;
MONTES CLAROS;MONTES CLAROS;4125617;COMPLEXO MEDICO E IMAGEM PRO - VIDA LTDA;HOSP;"2024-03-01";2002939240;EMREVISAO;0.00;
POUSO ALEGRE;POUSO ALEGRE;2762100;ALKMIM TEIXEIRA & TEIXEIRA LTDA;HOSP;"2025-07-01";2003302593;EMREVISAO;164.70;
UBERLANDIA;PATROCINIO;3311828;HOSPITAL MED CENTER LTDA;HOSP;"2024-08-01";2003091383;LIBPAGTO;8824.87;
BELO HORIZONTE;BELO HORIZONTE;3766914;MEDSCAN VASCULAR SERVICOS MEDICOS LTDA;CLIN;"2025-06-01";2003290120;LIBPAGTO;0.00;
ITABIRA;VIRGINOPOLIS;3350890;ASSOCIACAO DE PROTECAO E ASSISTENCIA A MATERNIDADE E INFAN HOSP S J VIRGINOPOLIS;HOSP;"2025-05-01";2003252244;EMREVISAO;0.00;
UBERLANDIA;UBERLANDIA;3613278;HOSPITAL SANTA GENOVEVA LTDA;HOSP;"2024-11-01";2003148160;EMREVISAO;0.00;
MONTES CLAROS;MONTES CLAROS;3889199;IRMANDADE NOSSA SENHORA DAS MERCES DE MONTES CLAROS;HOSP;"2025-12-01";2003419993;PAGPROC;16080.00;
GOVERNADOR VALADARES;GOVERNADOR VALADARES;3392942;HOSPITAL NOSSA SENHORA DAS GRACAS LTDA;HOSP;"2023-11-01";2002846987;EMREVISAO;147.68;
CONTAGEM;BETIM;4105213;HOSPITAL MATER DEI S.A;HOSP;"2025-11-01";2003403759;EMREVISAO;3581.17;
CONTAGEM;BETIM;4105213;HOSPITAL MATER DEI S.A;HOSP;"2025-10-01";2003328289;PAGPROC;9017.77;
POUSO ALEGRE;EXTREMA;48323;HOSPITAL MATERNIDADE SAO LUCAS DE EXTREMA LTDA;HOSP;"2025-04-01";2003285580;LIBPAGTO;79.80;
CORONEL FABRICIANO;IPATINGA;48184;FUNDACAO SAO FRANCISCO XAVIER;HOSP;"2025-12-01";2003411243;EMREVISAO;1451.40;
BELO HORIZONTE;BELO HORIZONTE;4125790;LOPES ODONTOLOGIA LTDA;CLINODON;"2023-02-01";2002625430;PAGPROC;0.00;
POUSO ALEGRE;ITAJUBA;80034;SANTA CASA DE MISERICORDIA DE ITAJUBA;HOSP;"2025-12-01";2003437690;PAGPROC;345.65;
CONTAGEM;BETIM;4105213;HOSPITAL MATER DEI S.A;HOSP;"2025-11-01";2003428971;PAGPROC;5430.27;
UBERLANDIA;ARAGUARI;3145269;SANTA CASA DE MISERICORDIA DE ARAGUARI;HOSP;"2025-12-01";2003432482;EMREVISAO;7128.00;
BELO HORIZONTE;BELO HORIZONTE;4414506;ALLIANCA SAUDE E PARTICIPACOES S.A;CLIN;"2025-10-01";2003374835;PAGPROC;51112.16;
ITABIRA;ITABIRA;48909;IRMANDADE NOSSA SENHORA DAS DORES;HOSP;"2024-07-01";2003078994;EMREVISAO;0.00;
BELO HORIZONTE;BELO HORIZONTE;4054402;LOPES ODONTOLOGIA LTDA;CLINODON;"2025-12-01";2003349445;EMREVISAO;0.00;
CONTAGEM;BETIM;4105213;HOSPITAL MATER DEI S.A;HOSP;"2025-10-01";2003420055;PAGPROC;0.00;
UBERLANDIA;UBERLANDIA;3613278;HOSPITAL SANTA GENOVEVA LTDA;HOSP;"2025-09-01";2003308484;EMREVISAO;0.00;
CONTAGEM;BETIM;4105213;HOSPITAL MATER DEI S.A;HOSP;"2025-11-01";2003423537;PAGPROC;8666.43;
MONTES CLAROS;MONTES CLAROS;3987087;HOSPITAL DO CANCER DO NORTE DE MINAS LTDA;HOSPD;"2024-05-01";2003021868;EMREVISAO;0.00;
UBERLANDIA;UBERLANDIA;3613278;HOSPITAL SANTA GENOVEVA LTDA;HOSP;"2024-08-01";2003084645;EMREVISAO;0.00;
BELO HORIZONTE;BELO HORIZONTE;3766842;CLINICA ODONTOLOGICA CAMPOSTRINI E LEOPOLDO LTDA;CONSULTODON;"2024-06-01";2003052696;EMREVISAO;0.00;
UBERLANDIA;ARAGUARI;3145269;SANTA CASA DE MISERICORDIA DE ARAGUARI;HOSP;"2025-12-01";2003433840;EMREVISAO;118.15;
CONTAGEM;BETIM;4105213;HOSPITAL MATER DEI S.A;HOSP;"2025-10-01";2003420028;PAGPROC;383.21;
POUSO ALEGRE;ITAJUBA;4059684;FISIOLINKE FISIOTERAPIA LTDA;CLIN;"2022-05-01";2002468994;PAGPROC;56.80;
UBERLANDIA;UBERLANDIA;3613278;HOSPITAL SANTA GENOVEVA LTDA;HOSP;"2025-05-01";2003252842;EMREVISAO;0.00;
PASSOS;PASSOS;3411714;UNIMED SUDOESTE DE MINAS COOPERATIVA DE TRABALHO MEDICO;HOSP;"2024-01-01";2002856348;EMREVISAO;0.00;
MURIAE;TOMBOS;3971127;OFICINA DO CORPO ASSISTENCIA EM SAUDE LTDA;ATENDOM;"2025-12-01";2003368715;EMREVISAO;0.00;
ARAXA;ARAXA;48778;MELHORAMENTOS DOM BOSCO SOCIEDADE ANONIMA;HOSP;"2023-05-01";2002790258;PAGPROC;0.00;
SAO JOAO DEL REI;SAO JOAO DEL REI;48035;SANTA CASA DA MISERICORDIA DE SAO JOAO DEL REI;HOSP;"2023-10-01";2002839846;EMREVISAO;1171.88;
UBERLANDIA;UBERLANDIA;3613278;HOSPITAL SANTA GENOVEVA LTDA;HOSP;"2024-12-01";2003193204;EMREVISAO;0.00;
CONTAGEM;BETIM;4105213;HOSPITAL MATER DEI S.A;HOSP;"2025-10-01";2003434444;PAGPROC;26655.11;
UBERLANDIA;UBERLANDIA;3774704;BEM VIVER HOME CARE LTDA-ME;ATENDOM;"2024-12-01";2003192143;EMREVISAO;0.00;
CORONEL FABRICIANO;IPATINGA;48184;FUNDACAO SAO FRANCISCO XAVIER;HOSP;"2025-11-01";2003400558;PAGPROC;400.00;
CONTAGEM;CONTAGEM;4165066;MOAVILE SOLUCOES ODONTOLOGICAS LTDA;CLINODON;"2024-02-01";2002945558;EMREVISAO;0.00;
CONTAGEM;BETIM;4105213;HOSPITAL MATER DEI S.A;HOSP;"2025-10-01";2003428939;PAGPROC;1780.65;
CONTAGEM;BETIM;4105213;HOSPITAL MATER DEI S.A;HOSP;"2025-11-01";2003423729;PAGPROC;4471.67;
BELO HORIZONTE;BELO HORIZONTE;3087217;ASSOCIACAO MARIO PENNA;HOSP;"2023-10-01";2002836006;EMREVISAO;0.00;
ARAXA;ARAXA;48778;MELHORAMENTOS DOM BOSCO SOCIEDADE ANONIMA;HOSP;"2025-12-01";2003379235;PAGPROC;853.92;
CONTAGEM;BETIM;4105213;HOSPITAL MATER DEI S.A;HOSP;"2025-10-01";2003325016;PAGPROC;5499.41;
BELO HORIZONTE;BELO HORIZONTE;3087217;ASSOCIACAO MARIO PENNA;HOSP;"2022-11-01";2002570002;PAGPROC;0.00;
BELO HORIZONTE;BELO HORIZONTE;3185028;CLINICA DE REABILITACAO SAO SILVESTRE LTDA;CLIN;"2025-05-01";2003278680;EMREVISAO;0.00;
BELO HORIZONTE;BELO HORIZONTE;3087217;ASSOCIACAO MARIO PENNA;HOSP;"2025-05-01";2003274136;LIBPAGTO;0.00;
MONTES CLAROS;MONTES CLAROS;3891075;CUIDAR SAUDE DOMICILIAR LTDA;ATENDOM;"2025-10-01";2003433301;PAGPROC;20145.00;
CONTAGEM;BETIM;4105213;HOSPITAL MATER DEI S.A;HOSP;"2025-09-01";2003426803;PAGPROC;3005.46;
UBERLANDIA;UBERLANDIA;3613278;HOSPITAL SANTA GENOVEVA LTDA;HOSP;"2022-11-01";2002599950;PAGPROC;0.00;
UBERLANDIA;UBERLANDIA;2621344;LABORMED LABORATORIO DE ANALISES E PESQUISAS CLINICAS LTDA;LABO;"2024-05-01";2003031260;EMREVISAO;0.00;
PASSOS;PIUMHI;4394896;PHD PIUMHI HOSPITAL DIA LTDA;LABO;"2025-12-01";2003360046;PAGPROC;3613.02;
CONTAGEM;BETIM;4105213;HOSPITAL MATER DEI S.A;HOSP;"2025-11-01";2003402200;PAGPROC;15083.53;
CONTAGEM;BETIM;4105213;HOSPITAL MATER DEI S.A;HOSP;"2025-10-01";2003426975;PAGPROC;19848.50;
BELO HORIZONTE;BELO HORIZONTE;3087217;ASSOCIACAO MARIO PENNA;HOSP;"2025-08-01";2003319452;EMREVISAO;0.00;
BELO HORIZONTE;BELO HORIZONTE;3513893;ANATOMIA PATOLOGICA HUGO SILVIANO BRANDAO LTDA;LABO;"2025-05-01";2003280521;PAGPROC;0.00;
MONTES CLAROS;MONTES CLAROS;3889199;IRMANDADE NOSSA SENHORA DAS MERCES DE MONTES CLAROS;HOSP;"2025-12-01";2003405437;PAGPROC;68.98;
CORONEL FABRICIANO;IPATINGA;48184;FUNDACAO SAO FRANCISCO XAVIER;HOSP;"2023-10-01";2003427962;PAGPROC;43361.96;
ALMENARA;ITAOBIM;2599024;HOSPITAL VALE DO JEQUITINHONHA;HOSP;"2025-10-01";2003347612;PAGPROC;142.43;
MONTES CLAROS;MONTES CLAROS;3118034;FISIOMEDIC SERVICOS DE FISIOTERAPIA E ERGONOMIA LTDA;CLIN;"2023-11-01";2002839336;EMREVISAO;215.00;
CONTAGEM;BETIM;4105213;HOSPITAL MATER DEI S.A;HOSP;"2025-11-01";2003422987;PAGPROC;22222.59;
UBERLANDIA;UBERLANDIA;3267827;HOSPITAL E MATERNIDADE SANTA CLARA S/A;HOSP;"2024-12-01";2003151921;EMREVISAO;0.00;
POCOS DE CALDAS;POCOS DE CALDAS;3080020;HOSPITAL MATERNIDADE E PRONTO SOCORRO SANTA LUCIA LTDA;HOSP;"2025-08-01";2003354389;PAGPROC;200.25;
UBERLANDIA;UBERLANDIA;3267827;HOSPITAL E MATERNIDADE SANTA CLARA S/A;HOSP;"2025-04-01";2003242847;EMREVISAO;0.00;
BELO HORIZONTE;SABARA;4395100;CLINICA DE IMAGEM SAO SEBASTIAO LTDA;CLIN;"2025-10-01";2003344671;EMREVISAO;0.00;
ITAUNA;ITAUNA;3406682;ERGOFISIO FISIOTERAPIA E ERGONOMIA LTDA;CLIN;"2025-08-01";2003376110;EMREVISAO;0.00;
DIVINOPOLIS;DIVINOPOLIS;4156020;CLINICA MEDICA DR. DELANO LTDA;CONSUMED;"2024-06-01";2003016100;PAGPROC;4965.84;
UBERLANDIA;UBERLANDIA;3613278;HOSPITAL SANTA GENOVEVA LTDA;HOSP;"2025-12-01";2003387518;EMREVISAO;2563.24;
CORONEL FABRICIANO;IPATINGA;48184;FUNDACAO SAO FRANCISCO XAVIER;HOSP;"2025-12-01";2003402003;EMREVISAO;12531.64;
BELO HORIZONTE;BELO HORIZONTE;4375859;ASSOCIACAO MARIO PENNA;CLIN;"2025-10-01";2003329096;EMREVISAO;0.00;
UBERLANDIA;ARAGUARI;3145269;SANTA CASA DE MISERICORDIA DE ARAGUARI;HOSP;"2024-11-01";2003251106;EMREVISAO;198.48;
UBERLANDIA;UBERLANDIA;3267827;HOSPITAL E MATERNIDADE SANTA CLARA S/A;HOSP;"2025-10-01";2003392949;LIBPAGTO;20689.55;
PASSOS;PASSOS;48077;IRMANDADE DA SANTA CASA DE MISERICORDIA DE PASSOS;HOSP;"2024-03-01";2002905795;EMREVISAO;0.00;
ARAXA;SANTA JULIANA;3346245;LABORATORIO DE ANALISES CLINICAS BIOKLIN LTDA;LABO;"2024-02-01";2002880423;PAGPROC;2714.76;
